Event.ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation.date,report.date,Species,Diagnosis.Source,Humans.Affected,Human.Deaths,Diagnosis.Status,Scientific_Names
403189,Influenza - Avian,;H5N1 HPAI;,51.07885,1.174614,"153564DYMCHURCH, FOLKESTONE AND HYTHE",United Kingdom of Great Britain and Northern Ireland,Europe,2025-03-10T00:00:00Z,2025-03-21T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
402678,Influenza - Avian,;H5N1 HPAI;,51.929075,4.783859,153496BERGAMBACHT,Netherlands (Kingdom of the),Europe,2025-03-10T00:00:00Z,2025-03-17T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
404203,Influenza - Avian,;H5N1 HPAI;,51.2222,2.93771,153494OOSTENDE,Belgium,Europe,2025-03-11T00:00:00Z,2025-04-04T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
403177,Influenza - Avian,;H5N1 HPAI;,51.48,-2.71,"153892BRISTOL PORT, NORTH SOMERSET",United Kingdom of Great Britain and Northern Ireland,Europe,2025-03-12T00:00:00Z,2025-03-21T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
404202,Influenza - Avian,;H5N1 HPAI;,51.099,3.71,154017GENT,Belgium,Europe,2025-03-13T00:00:00Z,2025-04-04T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
403176,Influenza - Avian,;H5N1 HPAI;,50.45,-4.47,"153893LISKEARD, CORNWALL",United Kingdom of Great Britain and Northern Ireland,Europe,2025-03-13T00:00:00Z,2025-03-21T00:00:00Z,"Wild,Great Black-backed Gull (Larus marinus),",WOAH (former OIE),NA,NA,Confirmed,Larus marinus
403726,Influenza - Avian,;H5N1 HPAI;,51.34,-1.97,"154469DEVIZES, WILTSHIRE",United Kingdom of Great Britain and Northern Ireland,Europe,2025-03-17T00:00:00Z,2025-03-28T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
404276,Influenza - Avian,;H5N1 HPAI;,57.684479,11.908637,154875GÃ–TEBORG,Sweden,Europe,2025-03-20T00:00:00Z,2025-04-07T00:00:00Z,"Wild,Great Black-backed Gull (Larus marinus),",WOAH (former OIE),NA,NA,Confirmed,Larus marinus
404210,Influenza - Avian,;H5N1 HPAI;,51.35,3.294226,154560BRUGGE,Belgium,Europe,2025-03-20T00:00:00Z,2025-04-04T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
404208,Influenza - Avian,;H5N1 HPAI;,52.386173,4.639442,154811DUTCH EXCLUSIVE ECONOMIC ZONE,Netherlands (Kingdom of the),Europe,2025-03-21T00:00:00Z,2025-04-04T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),Wild,Great Black-backed Gull (Larus marinus),",WOAH (former OIE),NA,NA,Confirmed,"Larus argentatus, Larus marinus"
